date,exercise,weight_kg,reps,sets
2026-04-01, deadlift ,80.0,10,3
2026-04-01,Bench Press,45.0,eight,5
2026-04-01,Overhead Press,,9,3
2026-04-03,Pull-up,,5,4
2026-04-03,Bench Press,45.0,8,3
2026-04-03,Squat,60.0,9,4
2026-04-06,Squat,62.5,9,3
2026-04-06,Pull-up,,7,4
2026-04-06,Overhead Press,30.0,6,3
2026-04-08,Pull-up,,6,3
2026-04-08,Bench Press,45.0,9,3
2026-04-08,Overhead Press,30.0,9,5
2026-04-10,Bench Press,45.0,9,5
2026-04-10,Squat,60.0,5,5
2026-04-10,Deadlift,82.5,10,3
2026-04-13,Pull-up,,5,4
2026-04-13,Squat,62.5,8,4
2026-04-13,Deadlift,82.5,8,5
2026-04-15,Overhead Press,30.0,6,5
2026-04-15,Deadlift,82.5,6,3
2026-04-15,Deadlift,82.5,6,3
2026-04-15,Bench Press,47.5,9,4
2026-04-17,Pull-up,,7,4
2026-04-17,Overhead Press,30.0,5,3
2026-04-17,Bench Press,47.5,9,4
2026-04-20,Bench Press,47.5,8,4
2026-04-20,Deadlift,82.5,5,5
2026-04-20,Squat,62.5,9,5
2026-04-22,Deadlift,82.5,7,5
2026-04-22,Pull-up,,7,4
2026-04-22,Overhead Press,30.0,5,4
2026-04-24,Overhead Press,32.5,7,5
2026-04-24,Squat,65.0,10,4
2026-04-24,Pull-up,,7,4
2026-04-27,Deadlift,82.5,7,3
2026-04-27,Squat,65.0,8,3
2026-04-27,Bench Press,47.5,6,4
2026-04-29,Bench Press,47.5,8,4
2026-04-29,Pull-up,,6,3
2026-04-29,Overhead Press,32.5,9,4
2026-05-01,Bench Press,47.5,7,5
2026-05-01,Overhead Press,32.5,7,5
2026-05-01,Deadlift,85.0,8,3
2026-05-04,Bench Press,47.5,6,3
2026-05-04,Squat,67.5,5,4
2026-05-04,Overhead Press,32.5,6,4
2026-05-06,Deadlift,85.0,8,5
2026-05-06,Squat,67.5,9,4
2026-05-06,Overhead Press,32.5,10,5
2026-05-08,Pull-up,,9,4
2026-05-08,Squat,67.5,8,3
2026-05-08,Bench Press,50.0,8,5
2026-05-11,Overhead Press,32.5,6,4
11/05/2026,Squat,67.5,7,5
2026-05-11,Pull-up,,7,3
2026-05-13,Squat,67.5,7,5
2026-05-13,Bench Press,50.0,5,3
2026-05-13,Deadlift,85.0,6,5
2026-05-15,Overhead Press,32.5,7,5
2026-05-15,Bench Press,50.0,7,4
2026-05-15,Deadlift,85.0,5,3
2026-05-18,Overhead Press,32.5,5,3
2026-05-18,Pull-up,,7,4
2026-05-18,Bench Press,50.0,10,4
2026-05-20,Overhead Press,32.5,9,4
2026-05-20,Bench Press,50.0,6,5
2026-05-20,Deadlift,87.5,9,3
2026-05-22,Pull-up,,7,4
2026-05-22,Deadlift,87.5,9,4
2026-05-22,Overhead Press,35.0,7,3
